molecule_chembl_id,activity_label,canonical_smiles_processed,MW,LogP,H_Donors,H_Acceptors,pIC50
CHEMBL68920,active,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,383.814,4.450340000000002,3,4,6.522878745280337
CHEMBL69960,active,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,482.9030000000001,3.614320000000001,3,6,6.3979400086720375
CHEMBL67057,active,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,559.6300000000002,4.824820000000003,3,7,7.0
CHEMBL65848,intermediate,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,470.53300000000024,3.3105200000000012,3,6,5.301029995663981
CHEMBL69629,active,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.9720000000001,3.203920000000001,4,7,7.0
CHEMBL66570,active,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,509.97300000000024,3.919620000000001,3,6,7.0
CHEMBL305194,intermediate,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,413.7960000000001,3.8401200000000006,4,5,5.301029995663981
CHEMBL67003,active,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,560.6180000000002,4.219820000000002,3,8,7.0
CHEMBL305246,active,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,495.9460000000001,3.5295200000000007,3,6,6.698970004336019
CHEMBL69966,active,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,497.5590000000004,2.3927199999999997,4,7,7.3979400086720375
CHEMBL69358,active,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,511.9890000000001,4.213520000000002,4,6,6.698970004336019
CHEMBL69071,active,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,509.97300000000024,3.9643200000000016,4,6,6.301029995663981
CHEMBL264382,active,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,602.6990000000002,4.4144200000000025,4,8,7.3979400086720375
CHEMBL136058,active,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,540.4220000000001,2.8641000000000005,3,8,8.301029995663981
CHEMBL939,intermediate,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.9100000000004,4.275600000000003,1,7,5.794795636051855
CHEMBL95320,inactive,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,417.46500000000026,3.8817800000000027,1,7,4.9299621333922445
CHEMBL545315,active,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.9470000000004,4.391500000000003,2,7,8.045757490560675
CHEMBL434827,active,CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,526.4390000000001,3.8737000000000013,3,7,7.853871964321762
CHEMBL31965,active,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.9470000000004,4.391500000000003,2,7,6.276544327964814
CHEMBL138940,active,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,513.9610000000004,2.894100000000001,3,8,7.619788758288394
CHEMBL95774,intermediate,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,509.96900000000045,4.868180000000005,2,7,5.771599641296995
CHEMBL553,inactive,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.4430000000002,3.405100000000002,1,7,4.732359017654084
CHEMBL334801,active,CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,498.3850000000001,3.0935000000000006,3,7,7.886056647693163
CHEMBL99024,inactive,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,470.9320000000004,4.752280000000004,1,7,4.8326826652518236
CHEMBL140561,active,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,498.38100000000014,4.125500000000002,2,7,6.958607314841775
CHEMBL342828,active,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,521.3790000000002,3.428600000000001,3,8,8.09151498112135
CHEMBL345109,active,CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,497.3970000000001,3.698500000000001,3,6,6.684029654543083
CHEMBL607707,intermediate,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,467.9320000000002,5.097580000000004,2,6,5.910448117113546
CHEMBL125401,inactive,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,283.378,2.9442000000000013,1,6,4.6020599913279625
CHEMBL300936,inactive,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1,490.65100000000024,3.3449000000000018,4,9,4.6020599913279625
CHEMBL428690,inactive,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,401.8460000000001,3.3046000000000015,3,6,4.801342913045577
CHEMBL14932,active,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,343.386,4.658000000000003,2,5,6.580044251510242
CHEMBL15346,active,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,520.6550000000002,4.745600000000003,2,8,7.022276394711152
CHEMBL15202,active,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,357.41300000000007,4.961000000000003,1,5,6.510041520575165
CHEMBL554,active,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,581.0690000000002,6.139100000000005,2,8,8.045757490560675
CHEMBL14627,active,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,510.5160000000002,5.789900000000005,2,6,6.931814138253839
CHEMBL460731,active,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,466.96600000000007,3.959100000000002,2,7,6.6777807052660805
CHEMBL514436,active,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,573.0900000000001,5.5381000000000045,2,8,8.0
CHEMBL14952,active,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,506.6280000000002,4.355500000000003,2,8,6.6307841425898575
CHEMBL273789,active,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,616.6620000000004,5.546900000000005,1,8,6.0101054362812265
CHEMBL517907,active,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,438.5530000000002,3.1479000000000017,2,7,6.6307841425898575
